Id,Title,Description,Category,CampName,VenueName,SubmitterName,LocationNote,Date,StartTime,DurationMinutes,IsRecurring,PriorityRank,Status,SubmittedAt,Host
8304f291-9276-41df-9b75-d405110533b0,Wandering Dr Crack ,"Find Dr. Crack, when he randomly spots in the playa, master of joints, pops, and mysterious therapeutic noises. If you spot him wearing his official white coat and correctly identify him, you'll be rewarded with a free Arthrophonic Show.",Spiritual / Healing,Belly Town,,,Somewhere on the playa,2026-07-07,00:00,60,Yes,1,Approved,2026-06-04 15:21:47,Dr. Crack
8304f291-9276-41df-9b75-d405110533b0,Wandering Dr Crack ,"Find Dr. Crack, when he randomly spots in the playa, master of joints, pops, and mysterious therapeutic noises. If you spot him wearing his official white coat and correctly identify him, you'll be rewarded with a free Arthrophonic Show.",Spiritual / Healing,Belly Town,,,Somewhere on the playa,2026-07-08,00:00,60,Yes,1,Approved,2026-06-04 15:21:47,Dr. Crack
8304f291-9276-41df-9b75-d405110533b0,Wandering Dr Crack ,"Find Dr. Crack, when he randomly spots in the playa, master of joints, pops, and mysterious therapeutic noises. If you spot him wearing his official white coat and correctly identify him, you'll be rewarded with a free Arthrophonic Show.",Spiritual / Healing,Belly Town,,,Somewhere on the playa,2026-07-09,00:00,60,Yes,1,Approved,2026-06-04 15:21:47,Dr. Crack
8304f291-9276-41df-9b75-d405110533b0,Wandering Dr Crack ,"Find Dr. Crack, when he randomly spots in the playa, master of joints, pops, and mysterious therapeutic noises. If you spot him wearing his official white coat and correctly identify him, you'll be rewarded with a free Arthrophonic Show.",Spiritual / Healing,Belly Town,,,Somewhere on the playa,2026-07-10,00:00,60,Yes,1,Approved,2026-06-04 15:21:47,Dr. Crack
d8a485d4-1728-4077-90c9-55b70ecfe300,The Magic Rabbit Hole,"Faaaaall dooooown the Magic Rabbit Hole !! 

Trust in the fall in the bottomless hole of wonders, enjoy the journey and it will lead you to a magical place. In this immersive dreamspace, you’re invited to leave a gift for a stranger… and discover a mysterious present left just for you.

Follow the White Rabbit to Camp Cambio.",Chillout,Camp Cambio,,,,2026-07-07,00:00,15,Yes,1,Approved,2026-06-08 00:15:34,
d8a485d4-1728-4077-90c9-55b70ecfe300,The Magic Rabbit Hole,"Faaaaall dooooown the Magic Rabbit Hole !! 

Trust in the fall in the bottomless hole of wonders, enjoy the journey and it will lead you to a magical place. In this immersive dreamspace, you’re invited to leave a gift for a stranger… and discover a mysterious present left just for you.

Follow the White Rabbit to Camp Cambio.",Chillout,Camp Cambio,,,,2026-07-08,00:00,15,Yes,1,Approved,2026-06-08 00:15:34,
d8a485d4-1728-4077-90c9-55b70ecfe300,The Magic Rabbit Hole,"Faaaaall dooooown the Magic Rabbit Hole !! 

Trust in the fall in the bottomless hole of wonders, enjoy the journey and it will lead you to a magical place. In this immersive dreamspace, you’re invited to leave a gift for a stranger… and discover a mysterious present left just for you.

Follow the White Rabbit to Camp Cambio.",Chillout,Camp Cambio,,,,2026-07-09,00:00,15,Yes,1,Approved,2026-06-08 00:15:34,
d8a485d4-1728-4077-90c9-55b70ecfe300,The Magic Rabbit Hole,"Faaaaall dooooown the Magic Rabbit Hole !! 

Trust in the fall in the bottomless hole of wonders, enjoy the journey and it will lead you to a magical place. In this immersive dreamspace, you’re invited to leave a gift for a stranger… and discover a mysterious present left just for you.

Follow the White Rabbit to Camp Cambio.",Chillout,Camp Cambio,,,,2026-07-10,00:00,15,Yes,1,Approved,2026-06-08 00:15:34,
d8a485d4-1728-4077-90c9-55b70ecfe300,The Magic Rabbit Hole,"Faaaaall dooooown the Magic Rabbit Hole !! 

Trust in the fall in the bottomless hole of wonders, enjoy the journey and it will lead you to a magical place. In this immersive dreamspace, you’re invited to leave a gift for a stranger… and discover a mysterious present left just for you.

Follow the White Rabbit to Camp Cambio.",Chillout,Camp Cambio,,,,2026-07-11,00:00,15,Yes,1,Approved,2026-06-08 00:15:34,
d8a485d4-1728-4077-90c9-55b70ecfe300,The Magic Rabbit Hole,"Faaaaall dooooown the Magic Rabbit Hole !! 

Trust in the fall in the bottomless hole of wonders, enjoy the journey and it will lead you to a magical place. In this immersive dreamspace, you’re invited to leave a gift for a stranger… and discover a mysterious present left just for you.

Follow the White Rabbit to Camp Cambio.",Chillout,Camp Cambio,,,,2026-07-12,00:00,15,Yes,1,Approved,2026-06-08 00:15:34,
